model,prompt,split,n,accuracy,mcc,precision_1,recall_1,f1_1,coverage,refusal_rate,invalid_rate,tp,tn,fp,fn,precision_0,recall_0,f1_0,macro_f1
chat_5.4,direct,in-domain,100,0.88,0.7252,0.9254,0.8986,0.9118,1.0,0.0,0.0,62,26,5,7,0.7879,0.8387,0.8125,0.8621
chat_5.4,anchor,in-domain,100,0.89,0.7453,0.9265,0.913,0.9197,1.0,0.0,0.0,63,26,5,6,0.8125,0.8387,0.8254,0.8725
chat_5.4,repair,in-domain,100,0.89,0.7453,0.9265,0.913,0.9197,1.0,0.0,0.0,63,26,5,6,0.8125,0.8387,0.8254,0.8725
chat_5.4,finetuned,in-domain,100,0.89,0.7453,0.9265,0.913,0.9197,1.0,0.0,0.0,63,26,5,6,0.8125,0.8387,0.8254,0.8725
chat_5.4,checklist,in-domain,100,0.56,-0.0472,0.6761,0.6957,0.6857,1.0,0.0,0.0,48,8,23,21,0.2759,0.2581,0.2667,0.4762
chat_5.4,direct,out-of-domain,100,0.86,0.6638,0.8767,0.9275,0.9014,1.0,0.0,0.0,64,22,9,5,0.8148,0.7097,0.7586,0.83
chat_5.4,anchor,out-of-domain,100,0.86,0.6616,0.8667,0.942,0.9028,1.0,0.0,0.0,65,21,10,4,0.84,0.6774,0.75,0.8264
chat_5.4,repair,out-of-domain,100,0.86,0.6638,0.8767,0.9275,0.9014,1.0,0.0,0.0,64,22,9,5,0.8148,0.7097,0.7586,0.83
chat_5.4,finetuned,out-of-domain,100,0.85,0.6357,0.8462,0.9565,0.898,1.0,0.0,0.0,66,19,12,3,0.8636,0.6129,0.717,0.8075
chat_5.4,checklist,out-of-domain,100,0.9,0.7615,0.8933,0.971,0.9306,1.0,0.0,0.0,67,23,8,2,0.92,0.7419,0.8214,0.876
