family,file,size,n,n_preds,correct,accuracy,ci_low,ci_high,macro_f1,refusals,missing,extra,accuracy_pct,ci
Chat 5.3,chat_5.3_25_en.csv,25,25,25,25,1.0,0.8668035060468213,1.0,1.0,0,0,0,100.0,86.7–100.0%
Chat 5.3,chat_5.3_100_en.csv,100,100,92,57,0.57,0.4721521169586435,0.6626686099947162,0.616,0,15,7,57.0,47.2–66.3%
Chat 5.3,chat_5.3_100_en_forced_complete.csv,100,100,100,64,0.64,0.542352199811621,0.7272892540950986,0.64,0,0,0,64.0,54.2–72.7%
Chat 5.3,chat_5.3_100_en_redo.csv,100,100,94,11,0.11,0.06254131955225126,0.18631463027903022,0.185,0,81,75,11.0,6.3–18.6%
Chat 5.4,chat_5.4_25_en.csv,25,25,25,24,0.96,0.8045552759497747,0.9929039496133008,0.978,1,0,0,96.0,80.5–99.3%
Chat 5.4,chat_5.4_100_en.csv,100,100,100,93,0.93,0.8625032899347026,0.9656811756359359,0.944,3,0,0,93.0,86.3–96.6%
Chat 5.4,chat_5.4_250_en.csv,250,250,250,214,0.856,0.8070866646773006,0.8941380360809675,0.865,5,0,0,85.6,80.7–89.4%
Chat 5.4,chat_5.4_500_en.csv,500,500,500,418,0.836,0.8010046749760953,0.8658715813711375,0.84,5,0,0,83.6,80.1–86.6%
Opus 4.6,opus_4.6_250_en.csv,250,250,250,239,0.956,0.9229414729274126,0.9752564583809309,0.958,1,0,0,95.6,92.3–97.5%
Opus 4.6,opus_4.6_500_en.csv,500,500,500,463,0.926,0.8996646988891734,0.945839126122497,0.926,0,0,0,92.6,90.0–94.6%
Sonnet 4.6,sonnet_4.6_25_en.csv,25,25,25,24,0.96,0.8045552759497747,0.9929039496133008,0.96,0,0,0,96.0,80.5–99.3%
Sonnet 4.6,sonnet_4.6_100_en.csv,100,100,100,91,0.91,0.8377362530335634,0.9519280048361151,0.919,2,0,0,91.0,83.8–95.2%
Sonnet 4.6,sonnet_4.6_250_en.csv,250,250,250,213,0.852,0.8026649802416493,0.8906807912946159,0.852,0,0,0,85.2,80.3–89.1%
Sonnet 4.6,sonnet_4.6_500_en.csv,500,500,500,438,0.876,0.8442119499943469,0.9020543368704138,0.876,0,0,0,87.6,84.4–90.2%
